Project Name,Project ID,Region,Status,Country,Implementing Agency,Project URL,Year Approved,Current Project Cost,Total IDA and IBRD Commitment,Grant Amount,Borrower,Environmental Assessment Category
SAC III - IDA REFLOW,P065435,Western and Central Africa,Closed,Republic of Cameroon,,https://projects.worldbank.org/en/projects-operations/project-detail/P065435,1999-01-20T00:00:00Z,13100000,13100000,,,C
Community Works Project,P051309,Europe and Central Asia,Closed,Republic of Albania,,https://projects.worldbank.org/en/projects-operations/project-detail/P051309,1999-01-19T00:00:00Z,17400000,17400000,,,C
Pilot Private Irrigation Development Project,P050886,Western and Central Africa,Closed,Burkina Faso,,https://projects.worldbank.org/en/projects-operations/project-detail/P050886,1999-01-12T00:00:00Z,5200000,5200000,,,C
Sustainable Forestry Investment Project,P052080,Latin America and Caribbean,Closed,Republic of Nicaragua,,https://projects.worldbank.org/en/projects-operations/project-detail/P052080,1999-01-07T00:00:00Z,15000000,15000000,,,B
Hurricane Emergency Project,P064084,Latin America and Caribbean,Closed,Republic of Nicaragua,,https://projects.worldbank.org/en/projects-operations/project-detail/P064084,1998-12-22T00:00:00Z,50000000,50000000,,,C
Structural Adjustment Credit 3 (SAC 3),P051171,Europe and Central Asia,Closed,Republic of Armenia,,https://projects.worldbank.org/en/projects-operations/project-detail/P051171,1998-12-22T00:00:00Z,65000000,65000000,,,U
Agricultural Productivity Improvement Project,P048505,Latin America and Caribbean,Closed,United Mexican States,,https://projects.worldbank.org/en/projects-operations/project-detail/P048505,1998-12-22T00:00:00Z,555000000,555000000,,,B
Lakhdar Watershed Management Pilot Project,P005519,Middle East and North Africa,Closed,Kingdom of Morocco,,https://projects.worldbank.org/en/projects-operations/project-detail/P005519,1998-12-22T00:00:00Z,5800000,5800000,,,B
Hurricane Emergency Project,P064083,Latin America and Caribbean,Closed,Republic of Honduras,,https://projects.worldbank.org/en/projects-operations/project-detail/P064083,1998-12-22T00:00:00Z,200000000,200000000,,,C
Integrated Coastal Management Project,P050911,Europe and Central Asia,Closed,Georgia,,https://projects.worldbank.org/en/projects-operations/project-detail/P050911,1998-12-17T00:00:00Z,6450000,6450000,"1,150,000",,B
Uttar Pradesh Sodic Lands Reclamation Project (02),P050646,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P050646,1998-12-15T00:00:00Z,286600000,286600000,,,B
Hurricane Georges Emergency Recovery Project,P063201,Latin America and Caribbean,Closed,Dominican Republic,,https://projects.worldbank.org/en/projects-operations/project-detail/P063201,1998-12-10T00:00:00Z,125000000,125000000,,,B
Banking System Reform Loan Project,P056524,East Asia and Pacific,Closed,Republic of the Philippines,,https://projects.worldbank.org/en/projects-operations/project-detail/P056524,1998-12-03T00:00:00Z,600000000,600000000,,,U
Emergency Flood Recovery Project,P063089,South Asia,Closed,People's Republic of Bangladesh,,https://projects.worldbank.org/en/projects-operations/project-detail/P063089,1998-11-24T00:00:00Z,200000000,200000000,,,C
Economic Management Reform Support Operation Project,P058282,Western and Central Africa,Closed,Burkina Faso,,https://projects.worldbank.org/en/projects-operations/project-detail/P058282,1998-11-05T00:00:00Z,15000000,15000000,,,U
"GY ""EL NINO"" Emergency Assistance Proj",P057271,Latin America and Caribbean,Closed,Co-operative Republic of Guyana,,https://projects.worldbank.org/en/projects-operations/project-detail/P057271,1998-10-22T00:00:00Z,10200000,10200000,,,B
Community Reintegration and Development Project,P051931,Eastern and Southern Africa,Closed,Republic of Rwanda,,https://projects.worldbank.org/en/projects-operations/project-detail/P051931,1998-10-15T00:00:00Z,5200000,5200000,,,B
National Agricultural Extension and Research Program Support Project,P045348,Western and Central Africa,Closed,Republic of Cameroon,,https://projects.worldbank.org/en/projects-operations/project-detail/P045348,1998-10-15T00:00:00Z,46000000,46000000,,,C
Emergency Flood & Earthquake Recovery Project,P058877,Europe and Central Asia,Closed,Republic of Turkiye,,https://projects.worldbank.org/en/projects-operations/project-detail/P058877,1998-09-10T00:00:00Z,685000000,685000000,,,B
Sohag Rural Development Project,P040858,Middle East and North Africa,Closed,Arab Republic of Egypt,,https://projects.worldbank.org/en/projects-operations/project-detail/P040858,1998-08-27T00:00:00Z,63973000,63973000,,,B
Emergency Flood Assistance Project,P059055,Europe and Central Asia,Closed,Republic of Tajikistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P059055,1998-08-27T00:00:00Z,5500000,5500000,,,C
Pumping Stations Rehabilitation III,P041410,Middle East and North Africa,Closed,Arab Republic of Egypt,,https://projects.worldbank.org/en/projects-operations/project-detail/P041410,1998-08-06T00:00:00Z,253000000,253000000,,,B
El Nino Emergency Project,P056595,Eastern and Southern Africa,Closed,Republic of Kenya,,https://projects.worldbank.org/en/projects-operations/project-detail/P056595,1998-07-16T00:00:00Z,131700000,131700000,,,B
National Agricultural Services Support Program Project (02),P037588,Western and Central Africa,Closed,Republic of Cote d'Ivoire,,https://projects.worldbank.org/en/projects-operations/project-detail/P037588,1998-07-14T00:00:00Z,50000000,50000000,,,B
Policy Reform Support Loan Project,P056230,East Asia and Pacific,Closed,Republic of Indonesia,,https://projects.worldbank.org/en/projects-operations/project-detail/P056230,1998-07-02T00:00:00Z,1000000000,1000000000,,,U
Pilot Reconstruction Project,P035770,Europe and Central Asia,Closed,Republic of Azerbaijan,,https://projects.worldbank.org/en/projects-operations/project-detail/P035770,1998-07-02T00:00:00Z,21600000,21600000,,,B
Urgent Environmental Investment Project,P055155,Europe and Central Asia,Closed,Republic of Azerbaijan,,https://projects.worldbank.org/en/projects-operations/project-detail/P055155,1998-06-30T00:00:00Z,24500000,24500000,,,A
Diversified Agricultural Support Project (DASP),P035824,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P035824,1998-06-30T00:00:00Z,160500000,160500000,,,B
Agricultural Policy and Capacity Building Project,P001402,Eastern and Southern Africa,Closed,Kingdom of Lesotho,,https://projects.worldbank.org/en/projects-operations/project-detail/P001402,1998-06-25T00:00:00Z,14300000,14300000,,,B
Structural Adjustment Credit (03),P054443,Western and Central Africa,Closed,Republic of Cameroon,,https://projects.worldbank.org/en/projects-operations/project-detail/P054443,1998-06-25T00:00:00Z,180000000,180000000,,,U
Andhra Pradesh Economic Restructuring Project,P049385,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P049385,1998-06-25T00:00:00Z,830000000,830000000,,,C
Agricultural Diversification Project,P004844,East Asia and Pacific,Closed,Socialist Republic of Vietnam,,https://projects.worldbank.org/en/projects-operations/project-detail/P004844,1998-06-23T00:00:00Z,84300000,84300000,,,B
Irrigated Agriculture Intensification II Project,P049700,East Asia and Pacific,Closed,People's Republic of China,,https://projects.worldbank.org/en/projects-operations/project-detail/P049700,1998-06-18T00:00:00Z,867300000,867300000,,,B
BORGOU PILOT RSP,P057345,Western and Central Africa,Closed,Republic of Benin,,https://projects.worldbank.org/en/projects-operations/project-detail/P057345,1998-06-16T00:00:00Z,5000000,5000000,,,C
Peasant Enterprise Zones Development Project,P053243,Latin America and Caribbean,Closed,Republic of Colombia,,https://projects.worldbank.org/en/projects-operations/project-detail/P053243,1998-06-15T00:00:00Z,5000000,5000000,,,B
ET: AG. RESEARCH & TRAINING,P000733,Eastern and Southern Africa,Closed,Federal Democratic Republic of Ethiopia,,https://projects.worldbank.org/en/projects-operations/project-detail/P000733,1998-06-09T00:00:00Z,90600000,90600000,,,C
TARIM BASIN II PROJECT,P046563,East Asia and Pacific,Closed,People's Republic of China,,https://projects.worldbank.org/en/projects-operations/project-detail/P046563,1998-06-09T00:00:00Z,272600000,272600000,,,B
Natural Resource Management Project,P000946,Western and Central Africa,Closed,Republic of Ghana,,https://projects.worldbank.org/en/projects-operations/project-detail/P000946,1998-06-04T00:00:00Z,25700000,25700000,,,A
Forestry Project,P045134,Europe and Central Asia,Closed,Bosnia and Herzegovina,,https://projects.worldbank.org/en/projects-operations/project-detail/P045134,1998-06-02T00:00:00Z,20430000,20430000,,,B
Kecamatan Development Project,P045337,East Asia and Pacific,Closed,Republic of Indonesia,,https://projects.worldbank.org/en/projects-operations/project-detail/P045337,1998-06-02T00:00:00Z,225000000,225000000,,,B
HEBEI EARTHQUAKE REHABILITATION PROJECT,P056491,East Asia and Pacific,Closed,People's Republic of China,,https://projects.worldbank.org/en/projects-operations/project-detail/P056491,1998-05-29T00:00:00Z,41100000,41100000,,,B
Agricultural Services and Management Project,P003331,Eastern and Southern Africa,Closed,Republic of Zimbabwe,,https://projects.worldbank.org/en/projects-operations/project-detail/P003331,1998-05-29T00:00:00Z,33400000,33400000,,,C
Forestry Development in Poor Areas Project,P046952,East Asia and Pacific,Closed,People's Republic of China,,https://projects.worldbank.org/en/projects-operations/project-detail/P046952,1998-05-21T00:00:00Z,364000000,364000000,,,B
Energy Sector Adjustment Credit Project,P051357,Western and Central Africa,Closed,Republic of Senegal,,https://projects.worldbank.org/en/projects-operations/project-detail/P051357,1998-05-19T00:00:00Z,100000000,100000000,,,C
Community Action Project,P045031,Eastern and Southern Africa,Closed,Republic of Zimbabwe,,https://projects.worldbank.org/en/projects-operations/project-detail/P045031,1998-05-19T00:00:00Z,60000000,60000000,,,B
Sustainable Coastal Resource Development Project,P003539,East Asia and Pacific,Closed,People's Republic of China,,https://projects.worldbank.org/en/projects-operations/project-detail/P003539,1998-05-19T00:00:00Z,200000000,200000000,,,B
Participatory Rural Investment Project,P040085,Latin America and Caribbean,Closed,Plurinational State of Bolivia,,https://projects.worldbank.org/en/projects-operations/project-detail/P040085,1998-05-12T00:00:00Z,77300000,77300000,,,B
Irrigation Rehabilitation Project,P046042,Europe and Central Asia,Closed,Kyrgyz Republic,,https://projects.worldbank.org/en/projects-operations/project-detail/P046042,1998-05-07T00:00:00Z,46800000,46800000,,,B
Agriculture Support Services Project (ASSP),P040721,Europe and Central Asia,Closed,Kyrgyz Republic,,https://projects.worldbank.org/en/projects-operations/project-detail/P040721,1998-05-07T00:00:00Z,30200000,30200000,,,C
Second Community Nutrition Project,P001568,Eastern and Southern Africa,Closed,Republic of Madagascar,,https://projects.worldbank.org/en/projects-operations/project-detail/P001568,1998-04-21T00:00:00Z,41900000,41900000,,,C
EMERGENCY EL NINO DROUGHT RESPONSE PROJECT,P055446,East Asia and Pacific,Closed,The Independent State of Papua New Guine,,https://projects.worldbank.org/en/projects-operations/project-detail/P055446,1998-04-21T00:00:00Z,5500000,5500000,,,C
Post Conflict Social Reconstruction Project,P045644,Eastern and Southern Africa,Closed,Republic of Angola,,https://projects.worldbank.org/en/projects-operations/project-detail/P045644,1998-04-15T00:00:00Z,5000000,5000000,,,C
Mahaweli Restructuring and Rehabilitation Project,P034212,South Asia,Closed,Democratic Socialist Republic of Sri Lan,,https://projects.worldbank.org/en/projects-operations/project-detail/P034212,1998-04-14T00:00:00Z,74200000,74200000,,,B
El Nino Emergency Assistance Project,P055974,Latin America and Caribbean,Closed,Plurinational State of Bolivia,,https://projects.worldbank.org/en/projects-operations/project-detail/P055974,1998-04-14T00:00:00Z,27500000,27500000,,,C
Maluku Regional Development Project,P037095,East Asia and Pacific,Closed,Republic of Indonesia,,https://projects.worldbank.org/en/projects-operations/project-detail/P037095,1998-03-31T00:00:00Z,20500000,20500000,,,B
Community Based Resource Management Project,P004595,East Asia and Pacific,Closed,Republic of the Philippines,,https://projects.worldbank.org/en/projects-operations/project-detail/P004595,1998-03-24T00:00:00Z,51000000,51000000,,,B
Szopad Social Fund Project,P051386,East Asia and Pacific,Closed,Republic of the Philippines,,https://projects.worldbank.org/en/projects-operations/project-detail/P051386,1998-03-24T00:00:00Z,15300000,15300000,,,C
Kerala Forestry Project,P049477,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P049477,1998-03-24T00:00:00Z,45000000,45000000,,,B
National Agricultural Technology Project,P010561,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P010561,1998-03-17T00:00:00Z,249000000,249000000,,,C
Bengkulu Regional Development Project,P040061,East Asia and Pacific,Closed,Republic of Indonesia,,https://projects.worldbank.org/en/projects-operations/project-detail/P040061,1998-03-03T00:00:00Z,18103000,18103000,,,B
MA-WATER RESOURCES MGMT.,P005521,Middle East and North Africa,Closed,Kingdom of Morocco,,https://projects.worldbank.org/en/projects-operations/project-detail/P005521,1998-02-26T00:00:00Z,25000000,25000000,0,,B
Power Rehabilitation Project,P035076,Eastern and Southern Africa,Closed,Republic of Zambia,Zambia Electricityu Supply Company,https://projects.worldbank.org/en/projects-operations/project-detail/P035076,1998-02-19T00:00:00Z,328200000,328200000,,,B
Agricultural Sector Investment Loan Project (02),P050418,Middle East and North Africa,Closed,Republic of Tunisia,,https://projects.worldbank.org/en/projects-operations/project-detail/P050418,1998-01-29T00:00:00Z,69300000,69300000,,,B
Post Conflict Reconstruction Project,P053386,Europe and Central Asia,Closed,Republic of Tajikistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P053386,1998-01-29T00:00:00Z,11930000,11930000,,,C
Indigenous and Afro-Ecuadorian Peoples Development Project,P040086,Latin America and Caribbean,Closed,Republic of Ecuador,,https://projects.worldbank.org/en/projects-operations/project-detail/P040086,1998-01-29T00:00:00Z,50000000,50000000,,,B
Tanzania TARP II,P002804,Eastern and Southern Africa,Closed,United Republic of Tanzania,,https://projects.worldbank.org/en/projects-operations/project-detail/P002804,1998-01-29T00:00:00Z,46100000,46100000,0,,C
